    um         	nN
1.851294e+000	-6.741943e+000
1.851149e+000	-6.734554e+000
1.851090e+000	-6.725317e+000
1.852431e+000	-6.685904e+000
1.853287e+000	-6.656961e+000
1.851798e+000	-6.678515e+000
1.850366e+000	-6.698837e+000
1.849363e+000	-6.709921e+000
1.849104e+000	-6.704995e+000
1.848615e+000	-6.704995e+000
1.848070e+000	-6.706226e+000
1.847810e+000	-6.701300e+000
1.847208e+000	-6.703763e+000
1.846805e+000	-6.701915e+000
1.847232e+000	-6.682209e+000
1.847802e+000	-6.659425e+000
1.846541e+000	-6.676051e+000
1.844852e+000	-6.701915e+000
1.844221e+000	-6.704995e+000
1.843161e+000	-6.717311e+000
1.841700e+000	-6.738249e+000
1.840469e+000	-6.754260e+000
1.840238e+000	-6.748718e+000
1.840836e+000	-6.725317e+000
1.840776e+000	-6.716079e+000
1.840688e+000	-6.707458e+000
1.840772e+000	-6.695142e+000
1.840770e+000	-6.684673e+000
1.840453e+000	-6.680978e+000
1.839279e+000	-6.695757e+000
1.838762e+000	-6.696373e+000
1.837645e+000	-6.709921e+000
1.836298e+000	-6.728396e+000
1.835667e+000	-6.731475e+000
1.834893e+000	-6.737633e+000
1.834119e+000	-6.743791e+000
1.833487e+000	-6.746870e+000
1.833257e+000	-6.741328e+000
1.833912e+000	-6.716695e+000
1.834367e+000	-6.696373e+000
1.835108e+000	-6.669893e+000
1.834477e+000	-6.672972e+000
1.833446e+000	-6.684673e+000
1.832300e+000	-6.698837e+000
1.831240e+000	-6.711153e+000
1.830465e+000	-6.717311e+000
1.829520e+000	-6.727164e+000
1.828345e+000	-6.741943e+000
1.827943e+000	-6.740096e+000
1.827311e+000	-6.743175e+000
1.827881e+000	-6.720390e+000
1.828594e+000	-6.694526e+000
1.828134e+000	-6.693910e+000
1.828246e+000	-6.680978e+000
1.827701e+000	-6.682209e+000
1.826783e+000	-6.691447e+000
1.825952e+000	-6.698837e+000
1.824806e+000	-6.713000e+000
1.824089e+000	-6.717927e+000
1.823887e+000	-6.711768e+000
1.823341e+000	-6.713000e+000
1.822195e+000	-6.727164e+000
1.822050e+000	-6.719774e+000
1.822934e+000	-6.690215e+000
1.822332e+000	-6.692678e+000
1.820986e+000	-6.711153e+000
1.820783e+000	-6.704995e+000
1.820581e+000	-6.698837e+000
1.819578e+000	-6.709921e+000
1.819004e+000	-6.711768e+000
1.817972e+000	-6.723469e+000
1.816827e+000	-6.737633e+000
1.816796e+000	-6.727780e+000
1.816965e+000	-6.713616e+000
1.816677e+000	-6.709306e+000
1.816475e+000	-6.703147e+000
1.815300e+000	-6.717927e+000
1.814383e+000	-6.727164e+000
1.814381e+000	-6.716695e+000
1.814493e+000	-6.703763e+000
1.814233e+000	-6.698837e+000
1.814088e+000	-6.691447e+000
1.814258e+000	-6.677283e+000
1.814027e+000	-6.671740e+000
1.812766e+000	-6.688368e+000
1.811449e+000	-6.706226e+000
1.810675e+000	-6.712384e+000
1.809786e+000	-6.721006e+000
1.809527e+000	-6.716079e+000
1.809153e+000	-6.713616e+000
1.808693e+000	-6.713000e+000
1.808605e+000	-6.704379e+000
1.808031e+000	-6.706226e+000
1.808686e+000	-6.681594e+000
1.809513e+000	-6.653266e+000
1.809168e+000	-6.650187e+000
1.808279e+000	-6.658809e+000
1.807019e+000	-6.675436e+000
1.805730e+000	-6.692678e+000
1.803755e+000	-6.724701e+000
1.802152e+000	-6.748718e+000
1.801664e+000	-6.748718e+000
1.800546e+000	-6.762265e+000
1.800515e+000	-6.752412e+000
1.801114e+000	-6.729012e+000
1.800997e+000	-6.721006e+000
1.802139e+000	-6.685904e+000
1.802622e+000	-6.664967e+000
1.802277e+000	-6.661887e+000
1.801617e+000	-6.665583e+000
1.800529e+000	-6.678515e+000
1.799011e+000	-6.700684e+000
1.796950e+000	-6.734554e+000
1.795032e+000	-6.765345e+000
1.794086e+000	-6.775198e+000
1.794256e+000	-6.761034e+000
1.795283e+000	-6.728396e+000
1.796596e+000	-6.689600e+000
1.797823e+000	-6.652650e+000
1.798221e+000	-6.633560e+000
1.797304e+000	-6.642797e+000
1.796759e+000	-6.644029e+000
1.795842e+000	-6.653266e+000
1.794095e+000	-6.680362e+000
1.791663e+000	-6.722237e+000
1.790259e+000	-6.741943e+000
1.789914e+000	-6.738865e+000
1.789454e+000	-6.738249e+000
1.789738e+000	-6.721622e+000
1.789764e+000	-6.710537e+000
1.789762e+000	-6.700068e+000
1.790303e+000	-6.677899e+000
1.789844e+000	-6.677283e+000
1.788498e+000	-6.695757e+000
1.788353e+000	-6.688368e+000
1.787921e+000	-6.687136e+000
1.786232e+000	-6.713000e+000
1.785201e+000	-6.724701e+000
1.784083e+000	-6.738249e+000
1.783080e+000	-6.749334e+000
1.782649e+000	-6.748102e+000
1.782990e+000	-6.730243e+000
1.783331e+000	-6.712384e+000
1.783500e+000	-6.698221e+000
1.783384e+000	-6.690215e+000
1.783039e+000	-6.687136e+000
1.783179e+000	-6.673588e+000
1.782462e+000	-6.678515e+000
1.781602e+000	-6.686520e+000
1.781343e+000	-6.681594e+000
1.780540e+000	-6.688368e+000
1.779537e+000	-6.699453e+000
1.778448e+000	-6.712384e+000
1.777131e+000	-6.730243e+000
1.776242e+000	-6.738865e+000
1.776040e+000	-6.732706e+000
1.776009e+000	-6.722853e+000
1.776550e+000	-6.700684e+000
1.776519e+000	-6.690831e+000
1.776603e+000	-6.678515e+000
1.776315e+000	-6.674204e+000
