    um         	nN
1.742227e+000	-2.642034e+000
1.742000e+000	-2.639207e+000
1.742336e+000	-2.630322e+000
1.743309e+000	-2.614572e+000
1.744188e+000	-2.599831e+000
1.743812e+000	-2.598619e+000
1.743099e+000	-2.601042e+000
1.742348e+000	-2.603870e+000
1.740736e+000	-2.615985e+000
1.739218e+000	-2.627091e+000
1.738636e+000	-2.628101e+000
1.738391e+000	-2.625476e+000
1.738015e+000	-2.624264e+000
1.737490e+000	-2.624668e+000
1.737601e+000	-2.618207e+000
1.737843e+000	-2.610331e+000
1.737205e+000	-2.611947e+000
1.736735e+000	-2.611745e+000
1.735947e+000	-2.614976e+000
1.735215e+000	-2.617601e+000
1.734427e+000	-2.620832e+000
1.733059e+000	-2.630322e+000
1.732477e+000	-2.631332e+000
1.732644e+000	-2.624264e+000
1.732512e+000	-2.620428e+000
1.732286e+000	-2.617601e+000
1.732003e+000	-2.615379e+000
1.731777e+000	-2.612552e+000
1.731214e+000	-2.613360e+000
1.730894e+000	-2.611543e+000
1.730612e+000	-2.609322e+000
1.729656e+000	-2.614370e+000
1.728812e+000	-2.618207e+000
1.728230e+000	-2.619216e+000
1.727367e+000	-2.623255e+000
1.726466e+000	-2.627697e+000
1.726072e+000	-2.626688e+000
1.725977e+000	-2.622447e+000
1.725582e+000	-2.621437e+000
1.725225e+000	-2.620024e+000
1.725018e+000	-2.616995e+000
1.724548e+000	-2.616793e+000
1.724247e+000	-2.614774e+000
1.723853e+000	-2.613764e+000
1.722933e+000	-2.618408e+000
1.721602e+000	-2.627495e+000
1.720646e+000	-2.632543e+000
1.720513e+000	-2.628707e+000
1.720830e+000	-2.620024e+000
1.721035e+000	-2.612552e+000
1.720341e+000	-2.614774e+000
1.719909e+000	-2.614168e+000
1.719720e+000	-2.610937e+000
1.719194e+000	-2.611341e+000
1.719099e+000	-2.607100e+000
1.718742e+000	-2.605687e+000
1.718029e+000	-2.608110e+000
1.717372e+000	-2.609927e+000
1.716716e+000	-2.611745e+000
1.715441e+000	-2.620226e+000
1.714877e+000	-2.621033e+000
1.713996e+000	-2.625274e+000
1.713002e+000	-2.630726e+000
1.713300e+000	-2.622245e+000
1.713374e+000	-2.616187e+000
1.713260e+000	-2.612148e+000
1.713221e+000	-2.607302e+000
1.712920e+000	-2.605283e+000
1.712151e+000	-2.608312e+000
1.711064e+000	-2.614774e+000
1.710369e+000	-2.616995e+000
1.709581e+000	-2.620226e+000
1.708850e+000	-2.622851e+000
1.708811e+000	-2.618004e+000
1.708603e+000	-2.614976e+000
1.708115e+000	-2.614976e+000
1.707889e+000	-2.612148e+000
1.707682e+000	-2.609120e+000
1.707044e+000	-2.610735e+000
1.706387e+000	-2.612552e+000
1.705636e+000	-2.615379e+000
1.704905e+000	-2.618004e+000
1.704304e+000	-2.619216e+000
1.703778e+000	-2.619620e+000
1.703178e+000	-2.620832e+000
1.702352e+000	-2.624466e+000
1.701976e+000	-2.623255e+000
1.702218e+000	-2.615379e+000
1.702461e+000	-2.607504e+000
1.702197e+000	-2.605081e+000
1.701465e+000	-2.607706e+000
1.700677e+000	-2.610937e+000
1.699927e+000	-2.613764e+000
1.698820e+000	-2.620428e+000
1.697639e+000	-2.627899e+000
1.697188e+000	-2.627495e+000
1.697112e+000	-2.623053e+000
1.696418e+000	-2.625274e+000
1.696023e+000	-2.624264e+000
1.695760e+000	-2.621841e+000
1.695702e+000	-2.617197e+000
1.695720e+000	-2.611745e+000
1.694632e+000	-2.618207e+000
1.693619e+000	-2.623860e+000
1.693356e+000	-2.621437e+000
1.693148e+000	-2.618408e+000
1.692847e+000	-2.616389e+000
1.691985e+000	-2.620428e+000
1.691122e+000	-2.624466e+000
1.690353e+000	-2.627495e+000
1.689527e+000	-2.631130e+000
1.689301e+000	-2.628303e+000
1.689468e+000	-2.621235e+000
1.689504e+000	-2.615581e+000
1.689634e+000	-2.608918e+000
1.689689e+000	-2.603062e+000
1.689500e+000	-2.599831e+000
1.689125e+000	-2.598619e+000
1.688018e+000	-2.605283e+000
1.686856e+000	-2.612552e+000
1.686049e+000	-2.615985e+000
1.685261e+000	-2.619216e+000
1.684323e+000	-2.624062e+000
1.683517e+000	-2.627495e+000
1.683497e+000	-2.622447e+000
1.683982e+000	-2.611947e+000
1.684168e+000	-2.604677e+000
1.684054e+000	-2.600639e+000
1.683622e+000	-2.600033e+000
