    um         	pN
1.751264e+000	-7.962312e+002
1.750546e+000	-7.971486e+002
1.749760e+000	-7.983357e+002
1.749651e+000	-7.968248e+002
1.749975e+000	-7.935870e+002
1.749527e+000	-7.934251e+002
1.749472e+000	-7.916983e+002
1.749173e+000	-7.909428e+002
1.748807e+000	-7.904571e+002
1.748752e+000	-7.887302e+002
1.748142e+000	-7.892159e+002
1.747328e+000	-7.905110e+002
1.745906e+000	-7.942345e+002
1.744876e+000	-7.963931e+002
1.743602e+000	-7.995229e+002
1.742031e+000	-8.038401e+002
1.742057e+000	-8.017894e+002
1.742287e+000	-7.989294e+002
1.742922e+000	-7.944504e+002
1.743287e+000	-7.910507e+002
1.743259e+000	-7.892159e+002
1.743096e+000	-7.879208e+002
1.742269e+000	-7.892699e+002
1.741442e+000	-7.906190e+002
1.740182e+000	-7.936949e+002
1.738489e+000	-7.984977e+002
1.737553e+000	-8.002785e+002
1.736645e+000	-8.019513e+002
1.736563e+000	-8.003324e+002
1.736630e+000	-7.981199e+002
1.736629e+000	-7.961772e+002
1.737211e+000	-7.919141e+002
1.737183e+000	-7.900793e+002
1.737128e+000	-7.883525e+002
1.735976e+000	-7.909967e+002
1.734879e+000	-7.934251e+002
1.734147e+000	-7.943964e+002
1.732927e+000	-7.973104e+002
1.732967e+000	-7.952058e+002
1.732655e+000	-7.945044e+002
1.732004e+000	-7.951519e+002
1.731814e+000	-7.939647e+002
1.730960e+000	-7.954217e+002
1.730945e+000	-7.935330e+002
1.730917e+000	-7.916983e+002
1.730226e+000	-7.925077e+002
1.729684e+000	-7.927236e+002
1.728830e+000	-7.941806e+002
1.728693e+000	-7.927775e+002
1.727880e+000	-7.940726e+002
1.727460e+000	-7.938028e+002
1.727188e+000	-7.929394e+002
1.725792e+000	-7.965549e+002
1.725169e+000	-7.970946e+002
1.724518e+000	-7.977422e+002
1.723705e+000	-7.990373e+002
1.723460e+000	-7.980659e+002
1.723243e+000	-7.969866e+002
1.723608e+000	-7.935870e+002
1.723376e+000	-7.925617e+002
1.723538e+000	-7.899714e+002
1.723822e+000	-7.868955e+002
1.723171e+000	-7.875430e+002
1.722358e+000	-7.888382e+002
1.720813e+000	-7.930474e+002
1.719052e+000	-7.981199e+002
1.717779e+000	-8.012498e+002
1.716816e+000	-8.031385e+002
1.716978e+000	-8.005482e+002
