    um         	pN
1.750696e+000	-4.406118e+002
1.750627e+000	-4.389390e+002
1.750112e+000	-4.390469e+002
1.748784e+000	-4.423926e+002
1.747741e+000	-4.446051e+002
1.746656e+000	-4.469795e+002
1.745681e+000	-4.489222e+002
1.745382e+000	-4.481667e+002
1.745828e+000	-4.444432e+002
1.746085e+000	-4.414752e+002
1.745881e+000	-4.403420e+002
1.745094e+000	-4.415292e+002
1.744173e+000	-4.432560e+002
1.744131e+000	-4.414752e+002
1.743399e+000	-4.424466e+002
1.742545e+000	-4.439036e+002
1.741990e+000	-4.441734e+002
1.741230e+000	-4.452527e+002
1.740566e+000	-4.459542e+002
1.741012e+000	-4.422307e+002
1.741282e+000	-4.392088e+002
1.740889e+000	-4.388310e+002
1.740522e+000	-4.383454e+002
1.740196e+000	-4.376978e+002
1.739451e+000	-4.387231e+002
1.738340e+000	-4.412054e+002
1.737093e+000	-4.442274e+002
1.736090e+000	-4.462780e+002
1.735656e+000	-4.460621e+002
1.735520e+000	-4.446591e+002
1.735790e+000	-4.416371e+002
1.735478e+000	-4.409356e+002
1.735193e+000	-4.401262e+002
1.734596e+000	-4.405579e+002
1.733945e+000	-4.412054e+002
1.733308e+000	-4.417990e+002
1.733145e+000	-4.405039e+002
1.732562e+000	-4.408816e+002
1.731775e+000	-4.420689e+002
1.730569e+000	-4.449289e+002
1.729499e+000	-4.472493e+002
1.729701e+000	-4.444972e+002
1.730039e+000	-4.412054e+002
1.729469e+000	-4.415292e+002
1.729035e+000	-4.413133e+002
1.728709e+000	-4.406658e+002
1.728329e+000	-4.402341e+002
1.727584e+000	-4.412594e+002
1.726784e+000	-4.425006e+002
1.726066e+000	-4.434179e+002
1.725280e+000	-4.446051e+002
1.725008e+000	-4.437417e+002
1.724696e+000	-4.430402e+002
1.724180e+000	-4.431481e+002
1.723814e+000	-4.426624e+002
1.723502e+000	-4.419609e+002
1.723081e+000	-4.416911e+002
1.722958e+000	-4.402341e+002
1.722863e+000	-4.386692e+002
1.722659e+000	-4.375359e+002
1.721778e+000	-4.391009e+002
1.720558e+000	-4.420149e+002
