    um         	nN
-6.511235e-002	-3.639467e+000
-6.516744e-002	-3.651168e+000
-6.190577e-002	-3.591434e+000
-6.236117e-002	-3.611756e+000
-6.032898e-002	-3.578501e+000
-6.155638e-002	-3.615450e+000
-5.981012e-002	-3.588355e+000
-5.940772e-002	-3.590202e+000
-5.763288e-002	-3.562490e+000
-5.848857e-002	-3.591434e+000
-5.682809e-002	-3.566185e+000
-5.679740e-002	-3.576038e+000
-5.502256e-002	-3.548327e+000
-5.490609e-002	-3.556332e+000
-5.496118e-002	-3.568033e+000
-5.390116e-002	-3.555716e+000
-5.309847e-002	-3.548942e+000
-5.229577e-002	-3.542168e+000
-5.309428e-002	-3.569880e+000
-5.260611e-002	-3.569880e+000
-5.271839e-002	-3.582812e+000
-5.117228e-002	-3.560027e+000
-5.168486e-002	-3.581581e+000
-5.131105e-002	-3.584044e+000
-5.067993e-002	-3.580965e+000
-5.030612e-002	-3.583428e+000
-4.904595e-002	-3.566801e+000
-5.075942e-002	-3.614219e+000
-5.041421e-002	-3.617298e+000
-5.018338e-002	-3.622840e+000
-5.043862e-002	-3.638851e+000
-4.886392e-002	-3.615450e+000
-5.112066e-002	-3.674569e+000
-4.754446e-002	-3.608061e+000
-4.942950e-002	-3.659173e+000
-4.659672e-002	-3.608676e+000
-4.799567e-002	-3.649320e+000
-4.696424e-002	-3.637620e+000
-4.707652e-002	-3.650552e+000
-4.638819e-002	-3.646241e+000
-4.652907e-002	-3.659789e+000
-4.612667e-002	-3.661637e+000
-4.689658e-002	-3.688732e+000
-4.537907e-002	-3.666563e+000
-4.569150e-002	-3.683806e+000
-4.568940e-002	-3.694275e+000
-4.628776e-002	-3.717676e+000
-4.542789e-002	-3.709670e+000
-4.511127e-002	-3.713365e+000
-4.427999e-002	-3.705975e+000
-4.530723e-002	-3.738613e+000
-4.381832e-002	-3.717060e+000
-4.475977e-002	-3.747850e+000
-4.327086e-002	-3.726297e+000
-4.449827e-002	-3.763246e+000
-4.438180e-002	-3.771252e+000
-4.486578e-002	-3.792189e+000
-4.371997e-002	-3.778025e+000
-4.411818e-002	-3.797116e+000
-4.368719e-002	-3.798347e+000
-4.425696e-002	-3.821133e+000
-4.293960e-002	-3.803274e+000
-4.239423e-002	-3.802042e+000
-4.345009e-002	-3.835297e+000
-4.216130e-002	-3.818053e+000
-4.304560e-002	-3.847613e+000
-4.155667e-002	-3.826059e+000
