    um         	nN
-1.263585e-002	-9.704689e-001
-1.314030e-002	-9.811711e-001
-1.184679e-002	-9.724882e-001
-1.188303e-002	-9.781422e-001
-1.137612e-002	-9.779403e-001
-1.060703e-002	-9.749114e-001
-1.021250e-002	-9.759210e-001
-9.331025e-003	-9.716805e-001
-9.236155e-003	-9.759210e-001
-8.410864e-003	-9.722863e-001
-8.109978e-003	-9.743055e-001
-7.378340e-003	-9.716805e-001
-7.208558e-003	-9.751133e-001
-6.551821e-003	-9.732959e-001
-5.895095e-003	-9.714786e-001
-5.463116e-003	-9.720844e-001
-5.967563e-003	-9.827866e-001
-5.048630e-003	-9.781422e-001
-5.347061e-003	-9.866232e-001
-4.428127e-003	-9.819788e-001
-5.138590e-003	-9.949023e-001
-4.051102e-003	-9.884406e-001
-4.443176e-003	-9.979312e-001
-3.674077e-003	-9.949023e-001
-4.234716e-003	-1.006210e+000
-3.184678e-003	-1.000152e+000
-3.913872e-003	-1.013278e+000
-2.601637e-003	-1.004393e+000
-3.330831e-003	-1.017518e+000
-1.438009e-003	-1.002374e+000
-2.729059e-003	-1.021557e+000
-6.302314e-004	-1.004191e+000
-1.827639e-003	-1.022365e+000
-4.719019e-005	-1.008432e+000
-1.282049e-003	-1.027009e+000
-4.567677e-004	-1.023374e+000
-6.615565e-004	-1.030846e+000
-2.355071e-005	-1.029230e+000
-3.781740e-004	-1.038317e+000
2.036400e-004	-1.037307e+000
1.758185e-005	-1.044577e+000
6.181264e-004	-1.043365e+000
5.631721e-004	-1.049221e+000
8.265968e-004	-1.051644e+000
9.027362e-004	-1.056087e+000
1.128710e-003	-1.058914e+000
1.598151e-003	-1.059116e+000
1.112434e-003	-1.069616e+000
1.375859e-003	-1.072039e+000
1.470728e-003	-1.076280e+000
2.108724e-003	-1.074664e+000
1.903935e-003	-1.082135e+000
2.504480e-003	-1.080924e+000
2.224779e-003	-1.089203e+000
3.087521e-003	-1.085164e+000
2.789089e-003	-1.093645e+000
3.127437e-003	-1.095261e+000
3.222306e-003	-1.099501e+000
3.673017e-003	-1.099905e+000
3.936441e-003	-1.102328e+000
4.181146e-003	-1.104953e+000
4.425840e-003	-1.107578e+000
4.427067e-003	-1.112829e+000
4.465745e-003	-1.117675e+000
4.804092e-003	-1.119290e+000
5.310994e-003	-1.119088e+000
4.900189e-003	-1.128781e+000
5.556915e-003	-1.126964e+000
4.977556e-003	-1.138474e+000
5.634282e-003	-1.136656e+000
5.523136e-003	-1.143118e+000
5.318347e-003	-1.150589e+000
5.825249e-003	-1.150387e+000
6.013761e-003	-1.153618e+000
6.670488e-003	-1.151801e+000
6.091128e-003	-1.163311e+000
6.541848e-003	-1.163715e+000
6.599257e-003	-1.168359e+000
7.012516e-003	-1.169167e+000
6.714085e-003	-1.177648e+000
6.940049e-003	-1.180475e+000
6.547974e-003	-1.189965e+000
7.129788e-003	-1.188956e+000
6.850087e-003	-1.197235e+000
7.169704e-003	-1.199052e+000
6.983635e-003	-1.206322e+000
7.921300e-003	-1.201475e+000
7.079732e-003	-1.215812e+000
7.998667e-003	-1.211168e+000
7.269473e-003	-1.224293e+000
8.113494e-003	-1.220457e+000
7.796332e-003	-1.229139e+000
8.340685e-003	-1.228534e+000
8.042253e-003	-1.237015e+000
8.792622e-003	-1.234188e+000
8.606564e-003	-1.241457e+000
9.338213e-003	-1.238832e+000
9.021051e-003	-1.247515e+000
9.115920e-003	-1.251755e+000
9.285702e-003	-1.255188e+000
8.893628e-003	-1.264679e+000
9.850013e-003	-1.259631e+000
8.727517e-003	-1.276997e+000
9.683912e-003	-1.271948e+000
9.179465e-003	-1.282651e+000
9.836191e-003	-1.280833e+000
9.313013e-003	-1.291737e+000
9.651361e-003	-1.293353e+000
9.708769e-003	-1.297997e+000
9.916012e-003	-1.301026e+000
9.992151e-003	-1.305469e+000
1.023685e-002	-1.308094e+000
9.807320e-003	-1.317988e+000
1.033294e-002	-1.317584e+000
1.052146e-002	-1.320815e+000
1.050395e-002	-1.326267e+000
1.086103e-002	-1.327681e+000
1.089971e-002	-1.332527e+000
1.136915e-002	-1.332729e+000
1.082725e-002	-1.343835e+000
1.099703e-002	-1.347268e+000
1.036148e-002	-1.359383e+000
1.101822e-002	-1.357566e+000
1.042013e-002	-1.369278e+000
1.075846e-002	-1.370893e+000
1.081587e-002	-1.375538e+000
1.044253e-002	-1.384826e+000
1.109925e-002	-1.383009e+000
1.055736e-002	-1.394115e+000
1.130773e-002	-1.391288e+000
1.084074e-002	-1.401587e+000
1.129145e-002	-1.401990e+000
1.123650e-002	-1.407846e+000
1.142501e-002	-1.411077e+000
1.122022e-002	-1.418549e+000
1.202677e-002	-1.415116e+000
1.152232e-002	-1.425818e+000
1.275964e-002	-1.417741e+000
1.240502e-002	-1.426828e+000
1.298684e-002	-1.425818e+000
1.255731e-002	-1.435712e+000
1.297056e-002	-1.436520e+000
1.297179e-002	-1.441770e+000
1.244862e-002	-1.452674e+000
1.340500e-002	-1.447626e+000
1.288183e-002	-1.458530e+000
1.372584e-002	-1.454694e+000
1.322139e-002	-1.465396e+000
1.344736e-002	-1.468223e+000
1.348605e-002	-1.473069e+000
1.391803e-002	-1.473675e+000
1.399417e-002	-1.478118e+000
1.386430e-002	-1.484781e+000
1.386552e-002	-1.490031e+000
1.418514e-002	-1.491849e+000
1.407399e-002	-1.498310e+000
1.422505e-002	-1.501945e+000
1.400153e-002	-1.509618e+000
1.422750e-002	-1.512445e+000
1.406017e-002	-1.519513e+000
1.443597e-002	-1.520724e+000
1.449338e-002	-1.525369e+000
1.413876e-002	-1.534456e+000
1.485168e-002	-1.532032e+000
1.410376e-002	-1.545360e+000
1.528489e-002	-1.537888e+000
1.442460e-002	-1.552427e+000
1.508133e-002	-1.550610e+000
1.463307e-002	-1.560706e+000
1.519615e-002	-1.559899e+000
1.523483e-002	-1.564745e+000
1.532970e-002	-1.568985e+000
1.525602e-002	-1.575043e+000
1.572546e-002	-1.575245e+000
1.531465e-002	-1.584938e+000
1.574664e-002	-1.585543e+000
1.518600e-002	-1.596852e+000
1.591765e-002	-1.594226e+000
1.560049e-002	-1.602909e+000
1.612612e-002	-1.602505e+000
1.545311e-002	-1.615025e+000
1.642823e-002	-1.609775e+000
1.609234e-002	-1.618660e+000
1.631831e-002	-1.621487e+000
1.572022e-002	-1.633199e+000
1.615221e-002	-1.633804e+000
1.596615e-002	-1.641074e+000
1.626702e-002	-1.643093e+000
1.583750e-002	-1.652988e+000
1.596993e-002	-1.656824e+000
1.625220e-002	-1.659046e+000
1.636592e-002	-1.663084e+000
1.661073e-002	-1.665709e+000
1.618131e-002	-1.675604e+000
1.674451e-002	-1.674796e+000
1.652110e-002	-1.682469e+000
1.659736e-002	-1.686912e+000
1.669234e-002	-1.691152e+000
1.585090e-002	-1.705489e+000
1.675121e-002	-1.701047e+000
1.613451e-002	-1.712960e+000
1.735320e-002	-1.705085e+000
1.604355e-002	-1.724470e+000
1.761809e-002	-1.712758e+000
1.679537e-002	-1.726894e+000
1.771441e-002	-1.722249e+000
1.730373e-002	-1.731942e+000
1.726761e-002	-1.737596e+000
1.741877e-002	-1.741230e+000
1.756995e-002	-1.744865e+000
1.777729e-002	-1.747894e+000
1.777863e-002	-1.753144e+000
1.787362e-002	-1.757385e+000
1.798733e-002	-1.761423e+000
1.823215e-002	-1.764048e+000
1.797128e-002	-1.772126e+000
1.778534e-002	-1.779395e+000
1.827362e-002	-1.779395e+000
1.844352e-002	-1.782828e+000
1.829503e-002	-1.789693e+000
1.775324e-002	-1.800799e+000
1.837263e-002	-1.799386e+000
1.811176e-002	-1.807463e+000
1.831912e-002	-1.810492e+000
1.807698e-002	-1.818367e+000
1.817197e-002	-1.822608e+000
1.822950e-002	-1.827252e+000
1.817465e-002	-1.833108e+000
1.836328e-002	-1.836339e+000
1.806496e-002	-1.844820e+000
1.881544e-002	-1.841993e+000
1.804891e-002	-1.855522e+000
1.876194e-002	-1.853099e+000
1.870709e-002	-1.858955e+000
1.835258e-002	-1.868042e+000
1.841011e-002	-1.872686e+000
1.889840e-002	-1.872686e+000
1.908703e-002	-1.875917e+000
1.963150e-002	-1.875311e+000
1.927698e-002	-1.884398e+000
1.985893e-002	-1.883388e+000
