    um         	pN
8.881231e-004	5.545288e+002
1.362756e-003	5.544748e+002
2.162343e-003	5.557159e+002
2.948406e-003	5.569031e+002
3.287639e-003	5.563096e+002
3.924749e-003	5.569031e+002
4.439997e-003	5.570110e+002
5.388538e-003	5.588458e+002
5.132001e-003	5.558778e+002
6.405510e-003	5.590077e+002
5.891697e-003	5.550144e+002
7.246439e-003	5.584680e+002
7.220086e-003	5.564175e+002
7.640550e-003	5.561476e+002
8.413075e-003	5.572809e+002
8.400247e-003	5.552842e+002
9.402956e-003	5.573348e+002
9.227651e-003	5.546906e+002
9.526254e-003	5.539351e+002
1.010921e-002	5.543129e+002
9.879749e-003	5.514528e+002
1.100432e-002	5.539891e+002
1.020615e-002	5.488626e+002
1.133072e-002	5.513989e+002
1.095231e-002	5.479452e+002
1.183316e-002	5.495102e+002
1.164432e-002	5.468120e+002
1.220018e-002	5.470818e+002
1.217383e-002	5.450312e+002
1.294634e-002	5.461644e+002
1.268980e-002	5.431964e+002
1.344877e-002	5.442757e+002
1.288081e-002	5.400665e+002
1.403245e-002	5.427108e+002
1.341032e-002	5.382857e+002
1.438594e-002	5.402284e+002
1.380443e-002	5.359653e+002
1.442800e-002	5.365050e+002
1.440164e-002	5.344543e+002
1.488981e-002	5.344543e+002
1.451141e-002	5.310007e+002
1.527038e-002	5.320799e+002
1.523048e-002	5.299753e+002
1.536660e-002	5.285723e+002
1.566520e-002	5.278168e+002
1.589611e-002	5.267915e+002
1.576144e-002	5.243092e+002
1.642563e-002	5.250107e+002
1.646697e-002	5.232299e+002
1.652185e-002	5.215031e+002
1.659028e-002	5.198302e+002
1.692950e-002	5.192366e+002
1.724165e-002	5.185351e+002
1.717467e-002	5.163226e+002
1.781178e-002	5.169162e+002
1.718966e-002	5.124912e+002
1.801632e-002	5.138402e+002
1.792226e-002	5.115198e+002
1.797716e-002	5.097930e+002
1.820805e-002	5.087677e+002
1.801921e-002	5.060695e+002
1.869695e-002	5.068250e+002
1.842686e-002	5.038031e+002
1.879317e-002	5.033174e+002
1.865850e-002	5.008351e+002
1.926853e-002	5.013208e+002
1.906614e-002	4.985686e+002
1.932413e-002	4.976513e+002
1.899987e-002	4.944134e+002
1.943389e-002	4.941976e+002
1.962417e-002	4.930104e+002
1.953011e-002	4.906899e+002
2.008599e-002	4.909598e+002
1.953156e-002	4.868046e+002
2.020929e-002	4.875600e+002
1.977672e-002	4.838905e+002
2.083358e-002	4.861570e+002
1.988648e-002	4.804369e+002
2.078087e-002	4.820558e+002
2.049724e-002	4.789799e+002
2.109373e-002	4.794116e+002
2.067470e-002	4.757960e+002
2.121704e-002	4.760119e+002
2.066260e-002	4.718567e+002
2.163823e-002	4.737994e+002
2.117858e-002	4.700219e+002
2.162613e-002	4.698600e+002
2.113939e-002	4.659746e+002
2.192546e-002	4.671619e+002
2.170954e-002	4.643558e+002
2.195398e-002	4.633844e+002
2.209010e-002	4.619814e+002
2.264597e-002	4.622512e+002
2.245713e-002	4.595530e+002
2.280990e-002	4.590134e+002
2.222839e-002	4.547503e+002
2.289258e-002	4.554518e+002
2.251418e-002	4.519981e+002
2.278570e-002	4.511347e+002
2.301661e-002	4.501094e+002
2.265174e-002	4.467097e+002
2.335656e-002	4.475731e+002
2.316771e-002	4.448749e+002
2.349340e-002	4.442274e+002
2.342642e-002	4.420149e+002
2.314280e-002	4.389390e+002
2.410488e-002	4.408277e+002
2.336088e-002	4.359170e+002
2.444483e-002	4.382914e+002
2.345711e-002	4.324094e+002
2.404006e-002	4.327871e+002
